Label,Text
0,And singing wit the prickle at her breast
1,And who shines now but Henrys enemies
0, Under the heavens
0,Likest she seemed Pomona when she fled
1,But throw her forth to beasts and birds of prey
1,Is guilty of this fault and not my son
1,money too Thou didst swear to me upon a
1,That shall make answer to such questions
1, brave young prince thy famous grandfather
1, Daedalus my poor boy Icarus
0,  What mischiefe is it that we not mistrust
1,Nor no mans lord  have no name no title
0,  But may it be that Belimperia
1,How can we aid you with our kindred tears
1,Ah let me live in prison all my days
1,Nor any of the house of Lancaster
1,Looking the way her harmless young one went
0,Misceat et nostro detur medicina dolori
1,The Lady Constance in a frenzy died
0,His starry helm unbuckled showed him prime
0,Famine and anguish will at last consume
1,Know thou sad man  am not Tamora
1,And the mute wonder lurketh in mens ears
1, bloody deed and desperately dispatchd
0,They murdred me that made these fatall markes
1,Forced in the ruthless vast and gloomy woods See see
1,Quite to forget this quarrel and the cause
1, never did incense his majesty
1,Rest you whiles  lament King Henrys corse
0,God hath pronounced it death to taste that tree
1,Blown by surmises jealousies conjectures
1,He and his forces enter the city
0,Said the angel who should better hold his place
0,Which now the sky with various face begins
1,Foul shame upon you you have all moved mine
1,Shadow whose son art thou
0,By numbers that have name But this I urge
1,These news would cause him once more yield the ghost
0,Gave elocution to the mute and taught
0,Their kings when Egypt with Assyria strove
1,It were superfluous for his apparel is built upon
1,Our puissance into the hand of God
1,We doubt not of a fair and lucky war
1,Never believe me Both are my kinsmen
1,Suggest his soonbelieving adversaries
1,Ill know your business Harry that  will
1,Didst yield consent to disinherit him
1,Hath not thy rose a canker Somerset
0,Useless and vain of freedom both despoiled
0,my godfathers were these Peter Pickleherring and Martin
1,This day had plotted in the councilhouse
0,To be both will and deed created free
1,Base Trojan thou shalt die
0,  The two first do the nuptiall torches beare
0,Who are at supper with such bellycheer
1,Our coronation done we will accite
1,Quiet yourselves  pray and be at peace
0,They ended parley and both addressed for fight
1,And those occasions uncle were of force
0,  Yet Faustus look up to heaven remember Gods
0,From out this dark and dismal house of pain
1,Tell thou an earl his divination lies
1,Ill to the king my master that is dead
0,Ile craue your pardon to goe seeke the prince
1,Have done a drunken slaughter and defaced
1,Thus doth he force the swords of wicked men
0,Me thinks this corner is to close with one
1,Tomorrow an it please your majesty
1,What surety of the world what hope what stay
1,Yet though thou standst more sure than  could do
1,And Harry Monmouths brawn the hulk Sir John
0,  Thou art a spirit God cannot pity thee
1,Bastard of Orleans thrice welcome to us
1, shall King Harry And so fare thee well
1,Ill make a corse of him that disobeys
1,Lord ChiefJustice What tell you me of it be it as it is
0,Variously representing yet still free
1,Heigh heigh the devil rides upon a fiddlestick
0,Thy mother cries on righteous Radamant
0,  No that was it for which  cheefely stroue
1,Who intercepts my expedition
0,Would speed before thee and be louder heard
0,Know none before us selfbegot selfraised
1,Reenter  and  with their weapons drawn
1,And have thee reverenced like a blessed saint
1,Is mustering in his clouds on our behalf
1,To set the crown once more on Henrys head
0,Besides the gates and high pyramides
0,Came shadowing and oppressed whole legions armed
0,  That was my sonne my gracious soueraigne
1,Ay with five hundred father for a need
0,Beyond compare the Son of God was seen
0,Recorded eminent Thus when in orbs
0,I saw when at his word the formless mass
1,Upon my party Thou coldblooded slave
1,And therefore am  bold and resolute
1,And nothing grieves me heartily indeed
0,Had he not loued Andrea as he did
0,From thence a rib with cordial spirits warm
0,Of Demogorgon Rumour next and Chance
0,With sudden blaze diffused inflames the air
1,Return and tell him so we know the worst
1,Let life be short else shame will be too long
1,Ill tell you what  think it is our way
1,Good Norfolk hie thee to thy charge
1, my fair cousin  must not say so
1,That warranteth by law to be thy privilege
1,And joind with Charles the rightful King of France
1,Left to be finished by such as she
1,Hath almost overtaen him in his growth
1,The Life and Death of Richard the Second
1, am bound by oath and therefore pardon me
0,Taking aduantage of his foes distresse
1,Tell me what fate awaits the Duke of Suffolk
1,Nor never by advised purpose meet
0,From their own mouths All is not theirs it seems
1,Bloodstained with these valiant combatants
1,So should we save a valiant gentleman
1,buryingplace to all that do dwell in this house
1,Why so can  or so can any man
1,Enter a Clown with a basket and two pigeons in it
1,Sought to entrap me by intelligence
1,No noble Titus but entreat of thee
1, let me stay befall what may befall
0,Enter  and her 
1,Against this proud protector with my sword
1,Resolve on this thou shalt be fortunate
1,is not a confident brow nor the throng of words
1,Thou shalt not bail them see thou follow me
0,It was determined to haue beene acted
1,He may mean more than we poor men do know
0, speak if any sparke of life remaine
1,And thus upbraided it The care on thee depending
0,Those balmy spoils As when to them who fail
1, know not where  am nor what  do
1,Ours of true zeal and deep integrity
1,The nimblefooted madcap Prince of Wales
0,And easily approved when the Most High
1,John Cade of Ashford
0,Wagner commend me to my dearest friends
0,Three parts in one but all of discords framdâ€”
0,Beyond all bounds till inundation rise
1, like them all and do allow them well
0,  This tels me that your Graces men of warre
1,Thou ominous and fearful owl of death
0,He runnes to kill whome  haue hope to catch
1,forbid  should be so bold to press to heaven in my
1,Change the complexion of her maidpale peace
1,was the very genius of famine yet lecherous as a
0,I fly not but have sought thee far and nigh
0,And  that have with concise syllogisms
0,  If thou repent devils shall tear thee in pieces
0,Their own heroic deeds and hapless fall
0,Thy sin and place of doom obscure and foul
1,To be deposed and shortly murdered
1,Then Warwick thus our sister shall be Edwards
0,Stretcheth out his arm and bends his ireful brows
1,Farewell my lord securely  espy
0,Above the highest hills Then shall this mount
1,Had twenty years been made This is a stem
1,Tomorrow morning let us meet him then
1, should not die but in Jerusalem
1,something to do thyself good Boot boot Master
0, An he have not slept this eight weeks Ill
1,But if you be afeard to hear the worst
1,And calls them brothers friends and countrymen
0,fair ladies which was the beautifulest in all the world we have
0,Of Araby the blest with such delay
0,  Go brother it is the Duke of Castiles cause
0,Is rising who intends to erect his throne
1,Rouse up thy youthful blood be valiant and live
0,Kneeled and before him humbled all my heart
0,Prudent lest from his resolution raised
0,More terrible at the entrance than within
1,And being protector stayed the soldiers pay
0,All other beasts that saw with like desire
1,Master Gower shall  entreat you with me to dinner
1,As by your high imperial majesty
1,Behold my Lord of Winchester the duke
0,  Is your roaguery become an office with a knaues
1,The parents live whose children thou hast butcherd
0,Leader the terms we sent were terms of weight
1,And not in me  am myself alone
0, Well sirrah follow me
0,Attractive human rational love still
0,  Who  Serberine my man
1,That we shall see and know our friends in heaven
0,As for this resolution at his end
1, was not angry since  came to France
0,Knit with the Graces and the Hours in dance
1, gentleman of mine  have dispatchd
1,With busy hammers closing rivets up
0,To answer and resound far other song
1,Die in his youth by like untimely violence
0,signumque crucis quod nunc facio et per vota nostra ipse nunc
0,New gathered and ambrosial smell diffused
1,Ripe for exploits and mighty enterprises
0,No spot or blame behind Which gives me hope
1,To me and to the state of my great grief
1, know thee not old man fall to thy prayers
1,hangman for  know thou worshippest St Nicholas
0,0 Pedrigano hangd by quaint deuice
0,you see heers a good fellow
1,Flourish Enter    in triumph with   and the rest
1, pray thee lend me thy lantern to see my gelding
0,Raised as of some great matter to begin
0,Fearless endangered Heavenâ€™s perpetual King
1,Or to exclaim on fortunes fickleness
1,For worse than Philomel you used my daughter
1,Shall it for shame be spoken in these days
0,Yet half his strength he put not forth but checked
0,Just oer the blissful seat of Paradise
1,nor pibble pabble in Pompeys camp  warrant you
0,Blows them transverse ten thousand leagues awry
1,To punish my mistreadings Tell me else
1,That in his secret doom out of my blood
1, faintly broke with thee of Arthurs death
0,Wants her fit vessels pure then strews the ground
0,Where he abides think there thy native soil
0,Where all his sons thy embassy attend
1,Kneel down and take my blessing good my girl
1,  Paris  hall of state
1,That hath aspired to Solons happiness
1,Myself have often heard him say and swear
1,Enter  and his Servingmen in mourning cloaks
1, reads the letter
1,Is much more general than these lines import
0,Of my celestial patroness who deigns
0,So quickened appetite that I methought
1,In our opinions she should be preferrd
0,Of glory obscured As when the sun new risen
1,He was perfumed like a milliner
1,wife Rivo says the drunkard Call in ribs call in tallow
0,What pleasure I from such obedience paid
0,Where first we vowd a mutuall amitie
1,Why say you so looks he not for supply
1,Weke weke so cries a pig prepared to the spit
1,desire to see him thinking of nothing else
1,We charge you on allegiance to ourself
0,Had melted whether found where casual fire
1,Henry of Hereford Lancaster and Derby
0,And now returns him from his prison scaped
0,Rose as in dance the stately trees and spread
0,Who of all ages to succeed but feeling
0,Nor those mysterious parts were then concealed
1,To have his princely paws pared all away
1,Now Warwick tell me even upon thy conscience
1,As it makes harmful all that speak of it
1,That by indictment and by dint of sword
0,The most averse thee chiefly who full oft
1,What fool hath added water to the sea
1,Four fixed and the fifth did whirl about
1,And he shall think that thou which knowst the way
1,And what hear there for welcome but my groans
1,Were by his side sometime he calls the king
0,Them fully satisfied and thee appease
1,Nay all of you that stand and look upon
1,Revolt our subjects that we cannot mend
1,Now blessed by the hour by night or day
0,Or crosse my sute that loued my sonne so well
0,Wisdom without their leave and wherein lies
1,To parley or to fight therefore prepare
1,And soldiers stay and lodge by me this night
1,But greater sin to keep a sinful oath
1,And you in hell as oft as he hears Owen Glendower spoke of
1, noble temper dost thou show in this
1,Shall dunghill curs confront the Helicons
1,and cannot help herself You shall have forty sir
1,This argues what her kind of life hath been
1,Rescue my Lord of Norfolk rescue rescue
1,Nay he nods at us as who should say Ill be even
0,Will grow to some good use whereas a sonne
0,Sometimes in heighth began as no delay
1,Hear ye captain are you not at leisure
0,Divinity is basest of the three
1,By the mass  was called any thing and  would
1,That hath received some unrecuring wound
0,From all Heavens bounds into the utter deep
0,As feare or flattering words may make him false
0,That raised us from the dust and placed us here
1,For our beloved mother in her pains
1,Flourish Enter         and  with drum and trumpets
1,cold as any stone then  felt to his knees and
1,Where is thy husband now where be thy brothers
1,all my fame for a pot of ale and safety
0,And fall into deception unaware
0, they take their crownes and them
0,And tooke our Kinge of Castille prisoner
1,All form is formless order orderless
1,You left poor Henry at the Bishops palace
1,he loves our house Let me see some more The
1,With him along is come the motherqueen
1,Are often welcomest when they are gone
0,Enter  and 
1,Speak sirs how was it
1,Never  never do his ghost the wrong
1,that making God so free an offer He let him
0,By force of windie sighes thy spirit breathes
0,Whom he had vanquished After these appeared
1,accuseth him he cannot swear but it cheques him
1,What can so young a thorn begin to prick
0,Which had no less proved certain unforeknown
0, Come what doest thou with that same book thou canst
0,Wheels her pale course they on their mirth and dance
1,Better ten thousand baseborn Cades miscarry
1,Cest assez pour une fois allonsnous a diner
1,The swelling difference of your settled hate
1, sweet Pistol Away Bardolph
1,Safer shall he be upon the sandy plains
1,Whatever torment you do put me to
0,Where Satan now prevails a monument
1,Not that  fear to stay but love to go
0,Found out for mankind under wrath Oh thou
0,To their defense who hold it here perhaps
1,Yet oftentimes it doth present harsh rage
1,Simple plain Clarence  do love thee so
0,Our enemy our own loss how repair
1,may do with sterling money and the other with
1,Acting that argument and now my death
0, must confesse  ha bin too slacke too tardy
1,How far is it to Berkeley and what stir
1,If that your moody discontented souls
1,And  the rather wean me from despair
0,On what thou hast of virtue summon all
1,Many a time hath banishd Norfolk fought
1,Our children and our sins lay on the king
1,Subjects may challenge nothing of their sovereigns
1,Be it by gins by snares by subtlety
0,These as a line their long dimension drew
1,Why what  pray is Margaret more than that
1,life which if  can save so if not honour comes
1,To shepherds looking on their silly sheep
0,Of order how in safety best we may
1,For thousands more that yet suspect no peril
1,honour a word What is in that word honour what
1,Oer him whom heaven created for thy ruler
1,My lord  claim your gift my due by promise
0, Yes sir  will tell you  yet if you were not dunces
1,To signify that rebels there are up
0,Their city his temple and his holy ark
0,Hail wedded Love mysterious law true source
1,What though the common people favour him
1, name that in my thoughts becomes me best
0,  In troth my lord it is a thing of nothing
1,Say Scroop where lies our uncle with his power
1,More bitterly could  expostulate
1,And humbly now upon my bended knee
0, saue him brother  saue him Balthazar
0, sets his brest vnto his sword
1,That thus  have resignd my charge to you
0,Flowers worthy of Paradise which not nice Art
1,And manners to intrude where  am graced
1,But to maintain the king the realm and you
1,We may as bootless spend our vain command
1,Of Charles the Great Also King Lewis the Tenth
1,The constables have delivered her over to me and
1,And some ten voices cried God save King Richard
1,Being men of such great leading as you are
1,For daring to affy a mighty lord
1,His valour shown upon our crests today
1,Now where is he that will not stay so long
0,Conceiued of yong Horatio his sonne
1,Lead me to the revolts of England here
1,Here let them end it and God defend the right
0,The stairs were then let down whether to dare
1,Which are so weak of courage and in judgment
1,But dawning day new comfort hath inspired
1,Lest unadvised you stain your swords with blood
0,Villain  say undo what thou hast done
0,All as our own and drive as we were driven
0,  Now to confirme the complot thou hast cast
1,Fellow give place here is no longer stay
1,Away with scrupulous wit now arms must rule
1,Throw this report on their incensed rage
0,Thus to disburden sought with sad complaint
0,When Jesus Son of Mary second Eve
1,Is that the rebels have consumed with fire
1,Shall wait upon your fathers funeral
1,To see this business Tomorrow next
1,God save you Sir John
1,All hell shall stir for this
0,Invincible and vigor soon returns
1,Save thou the child so we may all be safe
1,Will see his burial better than his life
1,Give me my fan what minion can ye not
1,What is thy name and wherefore comest thou hither
0,  And if in this he satisfie vs not
1,The sum is paid the traitors are agreed
1,No my good lord my friends are in the north
1,Your cares set up do not pluck my cares down
1,If one so rude and of so mean condition
0,Of rarest things and royal courts of kings
0,His brethren ransomed with his own dear life
1, do mistake my person all this while
1,With this deadkilling news
1, thou fond many with what loud applause
1,That  may turn me to each one of you
1,Give thee thy hire and send thy soul to hell
1,So mighty and so many my defects
0,Ill cull thee out the fairest courtezans
0,To practice magic and concealed arts
1,Is it good morrow lords
1,For now  stand as one upon a rock
0,And of their doings God takes no account
0,Why shouldst not thou like sense within thee feel
0,Meanwhile the adversary of God and man
1,surgeon some upon their wives left poor behind
1,No Kate  will tell thee in French which  am
1,And that my fortune rubs against the bias
0,By their great intercessor came in sight
1, gentle Aaron we are all undone
1, cannot think my lord your son is dead
1,God save your lordship
1,The middle centre of this cursed town
1,And force the tyrant from his seat by war
1,most sage demoiselle dat is en France
0,About the mother tree a pillared shade
1,Proceeded further cut me off the heads
1,In what we can to bridle and suppress
0,Though by the Devil himself him overweening
1,Saddle white Surrey for the field tomorrow
0,Mean while in utmost longitude where Heaven
1,Then fiery expedition be my wing
1,And shake the peace and safety of our throne
1,Who when they see the hours ripe on earth
1,Enter        and others with 
1,Why then she is the devils dam a joyful issue
1,Otherwhiles the famishd English like pale ghosts
1,That is to see how deep my grave is made
0,And with my treasurie my peoples blood
1,Receive them then the tribute that  owe
1,Highreaching Buckingham grows circumspect
1,Than arm thy constant and thy nobler parts
0,Inhabitant of Heaven and heavenly born
0,Went all his fear of God or Hell or worse
0,The eyes are dimd with teares they cheekes are wan
0,But like a proud steed reined went haughty on
1,Base slave thy words are blunt and so art thou
1,mightily strengthened
1,But both of you were vowd Duke Humphreys foes
0,Of sense whereby they hear see smell touch taste
1,The adulterate Hastings Rivers Vaughan Grey
1,well endeavours to trust to himself and to live
1,And instantly return with me again
0,Perpetual fountain of domestic sweets
1,ought him a thousand pound
1,Their aunt  am in law in love their mother
1,And in thy closet pent up rue my shame
1,Ant please your majesty a rascal that swaggered
1,Now by my troth if  had been rememberd
1,He will suspect us still and find a time
1,Rise Richard like a true Plantagenet
1,My gracious lord my lovely Saturnine
1,Reignier stand thou as Dauphin in my place
0,And makes a covenant never to destroy
1,Why they will allow us neer a jordan and then we
0,Thy power What thought can measure thee or tongue
1,Accursed the offspring of so foul a fiend
1,Throw up thine eye see see what showers arise
1,Den it sall also content me
1,when thou hast tired thyself in base comparisons
1,What the devil hast thou brought there applejohns
0,  It pleasde you at the entertainment of the
1,Though we upon this mountains basis by
0,Made passive both had served necessity
1,More sins for this forgiveness prosper may
1,For it is known we were but hollow friends
0,Fountain of light thyself invisible
1,Then do  give Volquessen Touraine Maine
1,   field of battle between Towton and Saxton in
1,Hath drawn him from his own determined aid
1,Capitulate against us and are up
1,But you at your sick service had a prince
1,Under whose government come they along
1,empty a heart but the saying is true The empty
1,And heres to right our gentlehearted king
1,Philip of France in right and true behalf
1,Alarums to the fight wherein   and   are slain Enter  and the rest
1,Hast thou that holy feeling in thy soul
0,Here they be madam  wilt please you taste on them
0,To Adam what shall come in future days
0,Soon dried and on the reeking moisture fed
0,If I could joy in aught sweet interchange
1,In pain of your dislike or pain of death
1,or Francis o Thursday or indeed Francis when
1,Why for my king tush thats a wooden thing
1,Have done with words my lords and hear me speak
0,With horrid strides Hell trembled as he strode
0,But infinite in pardon was my Judge
0,For wonderful indeed are all his works
1,Now lords take leave until we meet again
0,Let it I reck not so it light well aimed
1,farther than to say do you in faith  wear out
0,And wrought but malice lifted up so high
1,Ill throw thy body in another room
1, never gave them condign punishment
0,With goodness and paternal love his face
1,My lord old Sir John with halfadozen more are
1,And they indeed had no cause to mistrust
0,Marching from Eden towards the west shall find
0, it strikes it strikes  Now body turn to air
1,Of basilisks of cannon culverin
1,Why only Suffolk mourn  not for thee
1,Then dear my liege mine honour let me try
1,Out of your grace devise ordain impose
1,tunes let a cup of sack be my poison when a jest
0,Deliverer from new Lords leader to free
1,But hes deceived we are in readiness
1,Sir John we have our watchword was Hem boys
1,Kills   great tumult   and others go up into the balcony
1,If Salisbury be lost
1,Sound trumpets and set forward combatants
1,As venom toads or lizards dreadful stings
1,Lord ChiefJustice Come all his forces back
1,Argued betwixt the Duke of York and him
0,The ancient sire descends with all his train
1,Theres a dish of leathercoats for you
1,Are you the butcher Suffolk Wheres your knife
1,Receive each other God speak this Amen
1,Thomas Mowbray Duke of Norfolk
1,And now changed to The Beggar and the King
0,Nigh rivers mouth or foreland where the wind
0,Reserved him to more wrath for now the thought
1,That ever did contain a thing of worth
1,Can hide you from our messengers of war
1,Foretells a tempest and a blustering day
1,Like a forlorn and desperate castaway
0,Disparted and between spun out the air
1,Truly the souls of men are full of dread
1,Is crownd so soon and broke his solemn oath
0,And burnes the roots from whence the rest is sprung
0,In the arctic sky and from his horrid hair
1,Stand back thou manifest conspirator
1,Tomorrow then we will attend your grace
1,To punish this offence in other faults
0,Yet happy pair enjoy till I return
1,Thy counsel lad smells of no cowardice
1, calld thee then poor shadow painted queen
1,And now  fall thy tough commixture melts
0,Choicest and best then sacrificing laid
0,Sky lowered and muttering thunder some sad drops
1,Within their chiefest temple Ill erect
0, Ay go accursed spirit to ugly hell
1,And fall thy edgeless sword despair and die
1,that taught them me This is the right fencing
0,He back recoiled the tenth on bended knee
0,Wisdom thy sister and with her didst play
1,Because my poor child is a prisoner
0,The Persian in Ecbatan sat or since
1,her maidenhead ere they have it men shall hold of
0,Part good part bad of bad the longer scroll
1,From enemies heaven keep your majesty
1,Acquitted by a true substantial form
1,Leaving our rankness and irregular course
0,Iuno forget olde wrath and graunt him ease
1,Full fifteen hundred besides common men
1,He is walked up to the top of the hill Ill go seek him
1, grieve to hear what torments you endured
1,If your pure maidens fall into the hand
1,What if both Lewis and Warwick be appeased
1,For the best hope  have  do not wish one more
1, thank his grace  know he loves me well
0, In such extreames will nought but patience serue
0,But Balthazar heere comes Hieronimo
1,But  am troubled here with them myself
0,Desire of wandering this unhappy morn
1,Nay rather turn this day out of the week
0,So that my soul may but ascend to heaven
0,And will conceale whateuer proceeds from thee
0,The better reason to perplex and dash
1,Charge me  scorn you scurvy companion What
1,But wherefore dost thou come ist for my life
1,This is the English not the Turkish court
1,Enter the  and 
1,Make us thy ministers of chastisement
1,Of palisadoes frontiers parapets
0,My story to the sum of earthly bliss
1,So that his power like to a fangless lion
1,Had thy brethren here their lives and thine
0,His eye might there command wherever stood
1,That highly may advantage thee to hear
1,Their bodies to the lust of English youth
1,My liege  did deny no prisoners
0,With heavenly touch of instrumental sounds
1,Is a strange brooch in this allhating world
1,How if it come to thee again
0,And Faustus now will come to do thee right
0,With these came they who from the bordering flood
1,To this effect before you were new crownd
1,Anjou and Maine both given unto the French
1,Why tis well known that whiles  was
1,Till thou the liegiver and that lie do lie
1,And try if they can gain your liberty
1,Seems to prepare his way so let him land
1,Only thus much  give your grace to know
0,Which that false fruit that promised clearer sight
1,So bees with smoke and doves with noisome stench
0,Under what torments inwardly I groan
1,Edward Plantagenet arise a knight
1,Thump then see thou thump thy master well
1,see the bottom of Justice Shallow Lord Lord how
0,Or wet the thirsty earth with falling showers
1,Your vile intent must needs seem horrible
1,summered and warm kept are like flies at
1,But meditating with two deep divines
1,For did  but suspect a fearful man
1,Against the invulnerable clouds of heaven
1,Armd as we are lets stay within this house
1,chequed him for it and the young lion repents
1,Our messenger Chatillon is arrived
0,  All wel my soueraigne liege except some few
1,And by his hollow whistling in the leaves
1,Advance our standards set upon our foes
0,Sent from the emptie kingdome of blacke night
1,And make the meanest of you earls and dukes
1,Be copy now to men of grosser blood
1,That fear attends her not
0,Ile lead my freend Horatio through those feeldes
0,Knowledge of good and ill which I have set
1,That you divest yourself and lay apart
1,are to be loved No my good lord banish Peto
0, What art thou the third
1,That thou for truth givest out are landed here
0,All the unaccomplished works of Natures hand
1,Enter on the walls the Mayor of York and his Brethren
1,Now messenger what letters or what news
1,Exeunt all but the First Gentleman
0,In meditated fraud and malice bent
1,My lord kneel down with me Lavinia kneel
1,My lord  overrode him on the way
1,And stop their mouths if they begin to cry
1,Thou shakest thy head and holdst it fear or sin
0,Now stands our fortune on a tickle point
0,And brown as evening Cover me ye Pines
1,Ay mother but  would not have it so
1,hookwhat a plague call you him
1,That not a tear can fall for Rutlands death
1,Sirrah if they meet not with Saint Nicholas
0,A vast vacuity All unawares
1,Do or undo as if ourself were here
0,Unnamed in Heaven now plenteous as thou seest
1, come Master Shallow  come Master Shallow
1,The advised head defends itself at home
1,Or if you will to speak more properly
1,Go hie thee hie thee from this slaughterhouse
1,That he was never trained up in arms
1,Cut off the heads of too fast growing sprays
1,And find out murderers in their guilty caves
0,   hartles man and liue   miracle
1,You are my father for methinks in you
1,to be fat be to be hated then Pharaohs lean kine
1,These are their brethren whom you Goths beheld
0,So varied he and of his tortuous train
1,All members of our cause both here and hence
0,Two only who yet by sovereign gift possess
1,Believe me lords my tender years can tell
1,So thou the garland wearst successively
1,Ambassadors from Harry King of England
0,I overjoyed could not forbear aloud
0,Talke not of cordsâ€”but let vs now be goneâ€”
0,Touched only that our trial when least sought
0,But heere take this and this  what my purse
0,His couchant watch as one who chose his ground
1, cry you mercy  mean the lord protector
1,The ripest fruit first falls and so doth he
1,Imagination of some great exploit
1,My lord  had forgot to tell your lordship
1,We see the very wreck that we must suffer
1,this a bloody day to somebody But  pray God the
1,at idle times as thou mayest and so farewell
1,Forget your oath to us at Doncaster
0,See far and wide In at this gate none pass
1,And what not done that thou hast cause to rue
0,Shall leave them to enjoy for the earth shall bear
1,Think on Lord Hastings despair and die
0,Great Lucifer may claim it as his own
0,Creation and the wonders of his might
0,With floods and whirlwinds of tempestuous fire
1,Ha ha ha you can do it sir you can do it 
1,When it should move you to attend me most
0,Retire or taste thy folly and learn by proof
1,Doth more solicit me than your exclaims
1,The sun doth gild our armour up my lords
1,Death and destruction dog thee at the heels
1,Come on my masters each man take his stand
0,His praise who out of darkness called up light
1,Which his triumphant fathers hand had won
1,Revolving this will teach thee how to curse
0,By duteous seruice and deseruing loue
0,Or els his Highnes hardly shall deny
1,It is not a fashion for the maids in France to kiss
1,To order peace between them and omit
0, Why Robin what book is that
1,Soldiers  thank you all disperse yourselves
0,My valour drew me into dangers mouth
0,He marked and mad demeanor then alone
1,Indeed your drums being beaten will cry out
1,He calld them untaught knaves unmannerly
1,Airy succeeders of intestate joys
1,Must be the mistress to this theoric
0,No no said Rhadamant it were not well
1,Then let us meet them like necessities
0,Must look like fowlers to their dearest freends
0,Ages of hopeless end This would be worse
1,He is arrested but will not obey
0,Due nourishment not gluttonous delight
1,Would  were with him wheresomeer he is either in
1,Beguiles him as the mournful crocodile
1,This happy night the Frenchmen are secure
1,It shall be so disdain they neer so much
1,Tremble and start at wagging of a straw
1,His plate his goods his money and his lands
1,Say that before Ascensionday at noon
1,He durst as well have met the devil alone
1,In vaults and prisons and to thrill and shake
0,Anon dry ground appears and from his ark
1,Presents that  intend to send them both
0,                  No  think not so
1,Alas good master my wife desired some damsons
1,Why it contains no king
1,  France Before Harfleur
1,Why York what wilt thou do
1,Doth any one accuse York for a traitor
1,rascal hath removed my horse and tied him  know
1,When such strings jar what hope of harmony
1,By heaven  think theres no man is secure
1,But do not use it oft let me entreat you
0,Moses and Aaron sent from God to claim
0,What I have done what suffered with what pain
0,Rolling in dust and gore To which our sire
1,If  live to see it  will never trust his word after
0,Within the visible diurnal sphere
1,Great Duke of Lancaster  come to thee
1,Thy hand is made to grasp a palmers staff
1,Hadst thou in person neer offended me
0,Princes of Hell for so the popular vote
0,His uncouth way or spread his airy flight
0,And will as resolute conclude his parte
1,  The Abbey at Bury St Edmunds
1,And so conduct me where from company
0,Of echoing hill or thicket have we heard
0,Worth waiting since our present lot appears
1,My brain more busy than the labouring spider
1,Awaked the sleeping rheum and so by chance
1,no Why detraction will not suffer it Therefore
0,With tresses discomposed and glowing cheek
0,With withered winter to be blasted thus
0,Strive here for mastery and to battle bring
1,For your partaker Pole and you yourself
0,The work of sulfur Thither winged with speed
1,He was a man this in respect a child
1,They often feel a world of restless cares
1,Fight excursions Enter      and others
1,If for the last say ay and to it lords
1,His grace not being warnd thereof before
0,  Wheres thy lady
1,But only slaughterd by the ireful arm
1,Father the duke hath told the truth
0,Adams abode those lofty shades his bower
0,In open show and with ascension bright
0,Our knowledge or opinion then retires
1,That hot rash haste so indirectly shed
0,And all her entrails tore disgorging foul
1,Doing annoyance to the treacherous feet
1,The king my lord and Harry Prince of Wales
1,God save your majesty my royal cousin teach you
0,In curls on either cheek played wings he wore
0,With hideous ruin and combustion down
0,Angelic but more soft and feminine
0,Attends thee and each word each motion forms
0,Moist nutriment or under rocks their food
1,The noble duke hath sworn his coming is
1,Cast off his chains of bondage and embrace
1,How now what news with you
1,And he will look as hollow as a ghost
1,blame her then being a maid yet rosed over with the
0,In reason and is judicious is the scale
1,To be presented by your victories
0,But if thou judge it hard and difficult
